Name,geo_loc
India Palakkad,"(10.7691989, 76.6512469)"
India Kochi,"(9.9633864, 76.2536614)"
India Trivandrum,"(8.5058909, 76.9570481)"
India Alappuzha,"(9.460189, 76.28433466431)"
India Kollam,"(8.8870537, 76.5907058)"
India Malappuram,"(11.10405225, 76.1157778046369)"
India Thiruvananthapuram,"(8.5058909, 76.9570481)"
India Pathanamthitta,"(9.2655337, 76.7871514)"
India Thissur,
India Wayanad,"(11.715219, 76.1191251246776)"
India Nagda,"(23.4578957, 75.4191114)"
India Satna,"(24.5, 81.0)"
India Indore,"(22.7203851, 75.8682103)"
India Bhopal,"(23.2530923, 77.3962718)"
India Jabalpur,"(23.1608938, 79.9497702)"
India Gwalior,"(26.2, 78.2)"
India Ujjain,"(23.174597, 75.7851423)"
India Dewas,"(23.0, 76.166667)"
India Khajuraho,"(24.8515132, 79.9259786)"
India Sagar,"(23.8417793, 78.7466817)"
India Singrauli,"(24.1974432, 82.6661453)"
India Chhindwara,"(22.116667, 78.8)"
India Amlai,"(23.1732678, 81.5917253)"
India Pithampur,"(22.6105576, 75.6790283)"
India Pune,"(18.5203062, 73.8543185)"
India Bombay,"(18.9387711, 72.8353355)"
India Nagpur,"(21.1500964, 79.0127048991187)"
India Chandarpur,"(21.7076682, 83.2354433)"
India Aurangabad,"(24.75, 84.5)"
India Chandrapur,"(20.0, 80.0)"
India Nashik,"(20.216667, 74.083333)"
India Dombivli,"(19.2180493, 73.0861355)"
India Solapur,"(17.6715272, 75.8975502)"
India Thane,"(19.1943294, 72.9701779)"
India Mumbai,"(18.9387711, 72.8353355)"
India Aurangabad (MS),"(19.840474, 75.240842)"
India Greater Mumbai,"(18.9327876, 72.8369772)"
India Kolhapur,"(16.6603273, 74.1960037872403)"
India Amravati,"(21.0857492, 77.666978)"
India Lote,"(17.6104537, 73.483513)"
India Navi Mumbai,"(19.0308262, 73.0198537)"
India Tarapur,"(22.4882996, 72.6576842)"
India Mahad,"(18.080753, 73.42438)"
India Badlapur,"(19.1561967, 73.2660724)"
India Jalgaon,"(21.0137606, 75.5627048)"
India Latur,"(18.3983393, 76.562087)"
India Roha,"(22.8432502, 80.7248234)"
India Sangli,"(16.8502534, 74.5948885)"
India Ulhasnagar,"(19.2227363, 73.1657782)"
India Akola,"(20.77031765, 77.190806035826)"
India Jalna,"(19.96549, 75.8270463555813)"
India Nanded,"(18.916667, 77.5)"
India Imphal,"(24.8006088, 93.9369998)"
India Shillong,"(25.5760154, 91.8828027)"
India Byrnihat,"(26.0543348, 91.8696498)"
India Dawki,"(25.1856343, 92.0215717)"
India Tura,"(25.517377, 90.2066783)"
India Khliehriat,"(25.3587124, 92.3669702)"
India Nongstoin,"(25.5193851, 91.2677506)"
India Umsning,"(25.745534, 91.887263)"
India Aizawl,"(23.7414092, 92.7209297)"
India Champhai,"(23.4787183, 93.3198879)"
India Kolasib,"(24.2264657, 92.6773489)"
India Lunglei,"(22.8931695, 92.7470391)"
India Dimapur,"(25.9135914, 93.7283707)"
India Kohima,"(25.6618755, 94.1019156)"
India Angul,"(20.8382426, 85.0973949)"
